"Estacao";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI"
"14620000";"BOA VISTA";2026-02-08 01:30:00;2026-02-08 00:30:00;2026-02-07 23:30:00;115;-14;-34;0;-15;0;0;"BRANCO";;;"2011";132;-57;372;"50%-60%";
"14710000";"CARACARAI";2026-02-08 02:15:00;2026-02-08 01:15:00;2026-02-08 00:15:00;192;-14;-13;37;-4;0,8;0,8;"BRANCO";;;"2011";121,5;2;479;"50%-60%";
"14489000";"MARACA";2026-02-08 01:45:00;2026-02-08 00:45:00;2026-02-07 23:45:00;467;-10;-96;-43;-6;0;0;"URARICOERA";;;"2021";444;318;764;"50%-60%";
"14495000";"FAZENDA CAJUPIRANGA";2026-02-08 02:15:00;2026-02-08 01:15:00;2026-02-08 00:15:00;540;-11;-68;-27;-13;0;14,8;"URARICOERA";;;"2021";526;399;806;"60%-70%";
"14515000";"FAZENDA PASSARAO";2026-02-08 01:30:00;2026-02-08 00:30:00;2026-02-07 23:30:00;647;-14;-48;0;-13;0;0;"URARICOERA";;;"2011";586;480;932;"60%-70%";
"14527000";"PONTE DO TACUTU";2026-02-08 01:30:00;2026-02-08 00:30:00;2026-02-07 23:30:00;438;-5;-21;-69;-29;0;0;"TACUTU";;;"2011";457;360;713;"33%-44%";
"14530000";"VILA SURUMU";2026-02-08 02:00:00;2026-02-08 01:00:00;2026-02-08;281;0;-7;-9;-12;0;1;"SURUMU";260;;"2022";284;209;378;"40%-50%";
"14680001";"FE E ESPERANCA";2026-02-08 01:30:00;2026-02-08 00:30:00;2026-02-07 23:30:00;231;-4;-28;-19;-7;0;0;"MUCAJAÍ";;;"1976";214;132;400;"50%-60%";
"14690000";"MUCAJAI";2026-02-08 01:30:00;2026-02-08 00:30:00;2026-02-07 23:30:00;936;-11;-25;-10;-8;0,2;0,4;"MUCAJAÍ";;;"2011";918;767;1216;"50%-60%";
"14100000";"Manacapuru";2026-02-08 01:15:00;2026-02-08 00:15:00;2026-02-07 23:15:00;1451;7;57;110;138;0;68,6;"SOLIMOES";;;"2021";1374;1041;1593;"60%-70%";
"14320001";"São Gabriel da Cachoeira";2024-10-22 16:45:00;2024-10-22 15:45:00;2024-10-22 14:45:00;193;;;;;0;0;"NEGRO";;;;;;;;
"14400000";"Tapuruquara";2024-10-22 16:45:00;2024-10-22 15:45:00;2024-10-22 14:45:00;193;;;;;0;0;"NEGRO";;;;;;;;
"14420000";"Serrinha";2026-02-08 01:30:00;2026-02-08 00:30:00;2026-02-07 23:30:00;694;-7;-25;11;86;0;4,2;"NEGRO";634;;"2019";578;350;937;"70%-80%";
"14480002";"Barcelos";2026-02-08 02:00:00;2026-02-08 01:00:00;2026-02-08;470;1;25;;;0,2;17;"NEGRO";342;;"2022";344;121;652;"80%-90%";
"14540000";"FAZENDA BANDEIRA BRANCA";2026-02-08 01:45:00;2026-02-08 00:45:00;2026-02-07 23:45:00;121;0;-27;-19;-25;0;0;"COTINGO";170;;"2011";131,5;74;263;"40%-50%";
"14558000";"FAZENDA PARAISO";2026-02-08 02:00:00;2026-02-08 01:00:00;2026-02-08;480;-6;-12;-51;-18;0;0;"TACUTU";;;"2017";478,5;401;609;"44%-56%";
"14790000";"SANTA MARIA DO BOIAÇU";2026-01-19 07:00:00;2026-01-19 06:00:00;2026-01-19 05:00:00;434;4;;-33;-20;0;0;"BRANCO";404;;"2011";358;166;810;"60%-70%";
"14840000";"MOURA";2026-02-07 19:00:00;2026-02-07 18:00:00;2026-02-07 17:00:00;827;10;72;137;175;1,4;102,6;"NEGRO";680;;"2022";749;399;1101;"60%-70%";
"14990000";"Manaus";2026-02-08 01:45:00;2026-02-08 00:45:00;2026-02-07 23:45:00;2348;8;63;121;148;0;28,8;"NEGRO";;;"2012";2243,5;1849;2531;"80%-90%";
