"Site";"lat";"lon";"DA";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI"
"60435500";;;;"DESCOBERTO - BARRAGEM";2026-03-22 15:30:00;2026-03-22 14:30:00;2026-03-22 13:30:00;103019;-1;-3;-2;;3;7;"DESCOBERTO";;;"1989";103017,5;102632;103042;"50%-60%";
"60444035";;;;"ALAGADO";2025-12-31 23:45:00;2025-12-31 22:45:00;2025-12-31 21:45:00;26;-1;3;-17;0;0;0;"ALAGADO";;;"2018";68;63;79;"Mínima-0%";
"60472235";;;;"PIPIRIPAU";2026-03-22 16:15:00;2026-03-22 15:15:00;2026-03-22 14:15:00;273;54;94;93;81;22,6;115,4;"PIPIRIPAU";174;;"2011";171;155;191;"100%-Máxima";
"60474300";;;;"RIBEIRÃO SOBRADINHO";2025-12-31 23:45:00;2025-12-31 22:45:00;2025-12-31 21:45:00;29;-5;7;-17;-6;0;0;"RIBEIRÃO SOBRADINHO";;;"2020";56;48;93;"Mínima-0%";
"60640000";;;;"MONTANTE DE GOIÂNIA";2026-03-22 16:00:00;2026-03-22 15:00:00;2026-03-22 14:00:00;371;-22;33;48;46;0;25,4;"MEIA PONTE";263;;"2020";312,5;200;506;"80%-90%";
"60680000";;;;"PONTE MEIA PONTE";2026-03-22 15:45:00;2026-03-22 14:45:00;2026-03-22 13:45:00;272;-24;16;70;28;0;1,2;"MEIA PONTE";186;;"2005";231;101;499;"70%-80%";
"60765000";;;;"BARRA DO MONJOLO";2025-12-14 09:15:00;2025-12-14 08:15:00;2025-12-14 07:15:00;86;0;;;;0;0;"TURVO";245;;"1982";327,5;122;545;"Mínima-0%";
"60798000";;;;"MAURILÂNDIA";2026-03-22 15:45:00;2026-03-22 14:45:00;2026-03-22 13:45:00;287;-7;-18;62;24;0;27,6;"VERDE OU VERDÃO";242;;"1982";283;206;396;"50%-60%";
"64444000";;;;"UHE GOV. JAYME CANET JUNIOR UVAIA MONTANTE";2026-03-22 16:00:00;2026-03-22 15:00:00;2026-03-22 14:00:00;50,2;4;8,7;10,7;-11,9;7,2;7,2;"TIBAGI";;;"2013";141;51;531;"Mínima-0%";
"64508500";;;;"PONTE PRETA";2026-03-22 16:15:00;2026-03-22 15:15:00;2026-03-22 14:15:00;95;-4;-9;5;-4;0;0,2;"CONGONHAS";;;;;;;;
"64764000";;;;"GUAMPARÁ";2026-03-22 15:30:00;2026-03-22 14:30:00;2026-03-22 13:30:00;185;0;0;0;0;0;0;"PIQUIRI";;;"2017";194;172;449;"20%-30%";
"65010000";;;;"FAZENDINHA";2026-03-22 16:00:00;2026-03-22 15:00:00;2026-03-22 14:00:00;72;-4;-55;3;-15;0,4;4,6;"PEQUENO";;;"2022";108;68;237;"0%-10%";
"65025000";;;;"GUAJUVIRA";2026-03-22 16:00:00;2026-03-22 15:00:00;2026-03-22 14:00:00;116;-14;-14;8;-10;0;0;"IGUAÇU";;;"2014";158;56;362;"10%-20%";
"65990550";;;;"MUNIZ";2026-03-02 21:30:00;2026-03-02 20:30:00;2026-03-02 19:30:00;149;-1;-6;-7;;0;0;"SANTO ANTÔNIO";;;"1996";118;82;380;"80%-90%";
"66010000";-15,0761;-57,1819;9250;"BARRA DO BUGRES";2026-03-22 15:30:00;2026-03-22 14:30:00;2026-03-22 13:30:00;346;-3;92;8;-138;1;18,8;"PARAGUAI";233;;"1991";349;74;652;"40%-50%";
"66070004";-16,0761;-57,7022;32400;"CÁCERES (DNPVN)";2026-03-22 16:00:00;2026-03-22 15:00:00;2026-03-22 14:00:00;447;1;19;36;66;7,4;64,6;"PARAGUAI";418;;"1982";439,5;169;622;"50%-60%";
"66120000";-17,1433;-57,3594;64000;"PORTO CONCEICAO";2026-03-22 15:30:00;2026-03-22 14:30:00;2026-03-22 13:30:00;419;2;23;30;36;0,2;50,8;"PARAGUAI";452;;"1995";481;339;561;"10%-20%";
"66125000";-17,6414;-57,6906;68900;"BELA VISTA DO NORTE";2026-03-22 16:15:00;2026-03-22 15:15:00;2026-03-22 14:15:00;365;1;12;23;34;0,2;21,4;"PARAGUAI";;;"1982";468;310;693;"10%-20%";
"66260001";-15,6156;-56,1086;23500;"CUIABÁ";2025-04-30 07:00:00;2025-04-30 06:00:00;2025-04-30 05:00:00;332;19;-69;-21;56,5384615;0;0;"CUIABÁ";;;"1974";366,5;117;880;"30%-40%";
"66260006";;;;"CUIABÁ";2026-03-22 16:00:00;2026-03-22 15:00:00;2026-03-22 14:00:00;310;-56;-39;-17;-181;0;0;"CUIABÁ";;;;;;;;
"66270000";-15,8697;-56,0761;25300;"SANTO ANTÔNIO DO LEVERGER";2025-12-07 20:45:00;2025-12-07 19:45:00;2025-12-07 18:45:00;288;4;;28;20;0;0;"CUIABÁ";477;;"1974";603,5;262;973;"0%-10%";
"66280000";;;;"BARÃO DE MELGAÇO";2025-11-28 07:00:00;2025-11-28 06:00:00;2025-11-28 05:00:00;206;-2;4;6;4;0;0;"CUIABÁ";529;;"1992";592;227;751;"Mínima-0%";
