"Estacao";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI"
"41340000";"Ponte Raul Soares";2026-03-07 08:00:00;2026-03-07 07:00:00;2026-03-07 06:00:00;337;193;14;192;200;7,6;7,6;"DAS VELHAS";71;;"2022";175;39;588;"90%-100%";
"41410000";"Jequitibá";2026-03-07 08:00:00;2026-03-07 07:00:00;2026-03-07 06:00:00;190;-2;-281;11;-6;3,2;3,2;"DAS VELHAS";95;;"2022";179;74;716;"60%-70%";
"41650002";"Ponto do Licínio";2026-03-07 08:00:00;2026-03-07 07:00:00;2026-03-07 06:00:00;236;1;-319;25;;7,8;7,8;"DAS VELHAS";151;;"2022";224;151;770;"50%-60%";
"41780002";"Presidente Juscelino";2026-03-07 08:15:00;2026-03-07 07:15:00;2026-03-07 06:15:00;123;11;-152;-21;1;1,8;1,8;"PARAUNA";68;;"2020";97;63;309;"50%-60%";
"41818000";"Santo Hipólito";2026-03-07 07:45:00;2026-03-07 06:45:00;2026-03-07 05:45:00;238;-6;-514;58;-62;0;2,8;"DAS VELHAS";111;;"2020";194;94;738;"60%-70%";
"42449000";"UHE QUEIMADO MONTANTE";2026-03-07 05:00:00;2026-03-07 04:00:00;2026-03-07 03:00:00;222;2;3;-3;10;2;3;"PRETO";;;"2005";218;183;281;"50%-60%";
"42450300";"RIBEIRÃO JACARÉ";2026-03-07 07:30:00;2026-03-07 06:30:00;2026-03-07 05:30:00;90;4;-24;-20;8;0,2;0,4;"CÓRREGO BURITI GRANDE";102;;"2006";146;102;167;"Mínima-0%";
"42450900";"RIBEIRÃO JARDIM DF-100";2026-03-07 08:15:00;2026-03-07 07:15:00;2026-03-07 06:15:00;287;-2;-28;-53;-29;2,4;6,4;"RIBEIRÃO JARDIM";;;"2022";266;228;399;"67%-100%";
"44200000";"São Francisco";2026-03-07 08:15:00;2026-03-07 07:15:00;2026-03-07 06:15:00;600;-65;12;179;-91;0;0;"SÃO FRANCISCO";234;;"1992";485;234;1087;"70%-80%";
"45298000";"Carinhanha";2026-03-07 07:30:00;2026-03-07 06:30:00;2026-03-07 05:30:00;610;-1;192;216;55;0;7,6;"SÃO FRANCISCO";163;;"1979";412;146;885;"80%-90%";
"45480000";"Bom Jesus da Lapa";2026-03-07 07:30:00;2026-03-07 06:30:00;2026-03-07 05:30:00;739;21;176;103;25;0,8;22,8;"SÃO FRANCISCO";340;;"1979";559;315;1112;"80%-90%";
"45960001";"Porto Novo";2026-03-07 08:00:00;2026-03-07 07:00:00;2026-03-07 06:00:00;182;2;41;72;47;0;0;"CORRENTE";59;;"2016";181;59;461;"50%-60%";
"46675000";"Fazenda Macambira";2024-11-28 10:00:00;2024-11-28 09:00:00;2024-11-28 08:00:00;221;4;18;57;70;0;0;"GRANDE";;;"2021";256;140;398;"30%-40%";
"46902000";"Boqueirão";2026-03-07 08:15:00;2026-03-07 07:15:00;2026-03-07 06:15:00;210;4;35;61;68;0,6;2;"GRANDE";101;;"1980";165,5;79;474;"70%-80%";
"46998000";"Barra";2026-03-07 07:30:00;2026-03-07 06:30:00;2026-03-07 05:30:00;512;24;84;-64;-60;0,6;37;"SÃO FRANCISCO";220;;"1926";309;158;747;"70%-80%";
