"Estacao";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI"
"71200000";"Vila Canoas";2026-02-07 05:00:00;2026-02-07 04:00:00;2026-02-07 03:00:00;127;-4;-30;-38;-123;0;8,2;"CANOAS";;;;;;;;
"71300000";"Rio Bonito";2026-02-07 05:00:00;2026-02-07 04:00:00;2026-02-07 03:00:00;129;-14;-61;-80;-355;0;15;"CANOAS";366;;"1990";196;59;968;"10%-20%";
"71350001";"Encruzilhada II";2026-02-07 05:00:00;2026-02-07 04:00:00;2026-02-07 03:00:00;149;-4;-16;-63;-254;0,2;7,6;"CANOAS";326;;"2017";212;118;666;"10%-20%";
"72715000";"Rio das Antas";2026-02-07 05:00:00;2026-02-07 04:00:00;2026-02-07 03:00:00;149;-2;0;5;0;0;8,2;"DO PEIXE";157;;"1997";147;72;195;"60%-70%";
"72810000";"Tangará";2026-02-07 05:00:00;2026-02-07 04:00:00;2026-02-07 03:00:00;84;7;7;2;2;0;5,8;"DO PEIXE";91;;"2022";89;60;190;"30%-40%";
"72849000";"Joaçaba I";2026-02-07 05:00:00;2026-02-07 04:00:00;2026-02-07 03:00:00;110;-11;-30;-12;-35;0;33,2;"DO PEIXE";158;;"2014";127;81;308;"30%-40%";
"73770000";"Porto Fae Novo";2026-02-07 04:45:00;2026-02-07 03:45:00;2026-02-07 02:45:00;137;66;61;55;-25;0;0,8;"CHAPECÓ";98;;"1983";107;43;320;"60%-70%";
"73960000";"Barra do Chapecó Aux.";2026-02-07 05:00:00;2026-02-07 04:00:00;2026-02-07 03:00:00;172;-9;13;9;-4;0;5,2;"CHAPECÓ";155;;"1983";177;120;377;"40%-50%";
"74100000";"Iraí";2026-02-07 05:00:00;2026-02-07 04:00:00;2026-02-07 03:00:00;224;-14;2;54;0;0;0;"URUGUAI";150;;"1983";186;95;554;"60%-70%";
"74295000";"Linha Jataí";2026-01-07 13:30:00;2026-01-07 12:30:00;2026-01-07 11:30:00;82;-7;-29;-39;-11;0;0;"IRACEMA";;;"1983";72;54;250;"60%-70%";
"74300000";"Guatapara de Baixo";2026-02-07 05:15:00;2026-02-07 04:15:00;2026-02-07 03:15:00;55;0;0;0;-30;0;29;"DAS ANTAS";81;;"2013";75;56;246;"Mínima-0%";
